TEAM,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Houston,27,121.4,91.8,0.961,53.7,42,15.1,22.2,38.1,27.9,27.4,34.1,54.2,42.6,35.1,27.5,63.3,7
Alabama,25,118.4,91.4,0.9515,53.4,41.8,18.9,15.7,33.2,27.4,38.6,32.8,54.5,42.1,34.8,27.4,73.5,8.6
UCLA,25,114.6,89.8,0.9425,51.6,46.5,15.3,24.3,34.1,28.3,25.5,26.8,50.9,46.9,35.4,30.7,66.5,6.8
Tennessee,21,112,87.9,0.9417,49.8,41,18.1,23.1,37.5,27.8,30.6,35.5,50.5,43.8,32.4,24.7,66,3
Purdue,24,119.1,94.4,0.9351,52.3,46.8,17.3,15.4,38.4,23,36.3,18.1,53.9,47.4,33.1,30.5,64.3,6.5
Saint Mary's,25,114.1,90.9,0.9317,52.8,45.9,16.3,19.3,33.3,21.7,30.2,29.9,51.4,44.8,36.8,32.2,62.3,3.6
Connecticut,22,119.7,96.3,0.9241,53,45.4,18.7,19.7,39.1,25.9,33.1,40,52.6,45.7,35.6,29.8,67.5,4
San Diego St.,23,115.1,93.2,0.9182,51.2,48.3,17.8,19.8,31.4,24.8,34.3,30.8,50.6,51.5,34.9,29,66.9,5.2
Arizona,24,120.6,98,0.9153,56.4,47.3,18.4,17.1,31.9,25.8,37,25.4,56.6,46.2,37.4,32.8,72.8,5.3
Baylor,22,123.8,100.8,0.9142,53.1,51,18,19.7,35.6,30.1,37.6,31.3,51.5,53,36.8,31.9,67.1,6.4
Gonzaga,25,124.8,101.7,0.9127,57.9,52.2,14.8,18.8,30.9,25.4,33.8,27.9,58.9,51.9,37.2,35.2,70.5,6
Kansas,24,115.7,94.5,0.9114,52.9,46.9,17.6,20.6,29.9,28.8,29.9,32.2,52.9,46.3,35.4,32,69.6,9.2
Texas,22,117.5,96.3,0.9079,53.6,48.8,16.7,22.6,29,29.2,31.3,35.3,54.5,48.3,34.7,33.2,69.4,5.8
Arkansas,19,112.7,93.3,0.8978,52.7,45.8,18.2,20.7,30.1,27.5,38.1,37.4,54.6,45.4,31.9,31.2,69.9,1.3
Creighton,18,114.9,95.2,0.8969,53.8,47.4,16.6,14.7,25.5,22.9,27.9,19.7,55,45.9,34.7,34,67.7,1.3
Marquette,23,120.7,100.3,0.8934,56.6,52,15.2,23,26.8,31.4,27.4,29.4,59.1,51.2,35.4,35.6,69.6,5.2
Texas A&M,21,116.4,97.2,0.8883,49.9,47.8,18.6,20.8,36.8,29.7,46.7,36.9,50,47,33.1,32.4,66.4,2.1
West Virginia,17,117.9,98.8,0.8838,51.7,50.6,18.6,20.8,34.1,28.9,40.8,40.3,51,50.5,35.4,33.9,68.8,1.2
Xavier,21,119.6,100.4,0.8821,56,50.5,17.9,16.9,31,25.5,30.7,26.8,54.4,48.6,39.6,36.1,71.2,3.5
Kansas St.,22,112,94.2,0.8794,51.1,47,19.7,21.1,30.8,29.6,38.2,37.2,51.4,48.9,33.7,29.1,69.8,5
TCU,19,113.4,95.4,0.8792,50.7,47.8,17,22.3,32.5,30.7,34.6,29.2,53.6,48.7,29.1,30.7,70.3,2.1
Iowa St.,17,109.8,92.8,0.8742,50.5,49.7,19.2,25.4,32.7,27,27.6,40.2,50.6,49.7,33.5,33.1,64.3,1.3
Auburn,19,111.6,94.8,0.8681,49,44.7,18.3,19.2,34,31.5,34.9,38.7,51,45.8,30.2,28.4,68.1,1.3
Indiana,20,115.5,98.1,0.8668,54.4,46.9,17.6,16.6,29.1,27.4,30,29.9,53.3,46,38.2,32.1,68.5,3.4
Memphis,22,115.3,98.2,0.8626,53.1,47.7,18.5,20.9,31.1,31.7,35.4,35.3,54,47.9,33.8,31.6,71.8,3.4
Maryland,20,114.5,97.8,0.8597,51.5,47.1,16.3,18.3,30.2,27.2,34.5,27.6,53.2,47,32.4,31.4,65.2,1.8
Michigan St.,17,112.9,96.5,0.8595,51.2,47.2,16.7,14.8,27.3,25.6,25.8,29.1,48,48.3,38.5,30.4,65.1,1.9
Kentucky,20,118.1,101,0.8579,51.7,48.9,17.1,17.2,38.2,25.2,30.7,29.2,50.2,48.6,36.8,32.9,65.8,2.5
Boise St.,22,109.8,94.1,0.8543,51.8,46.3,16.8,17.6,26.2,23.7,30.2,27.4,50.9,47,35.5,29.9,67.3,2.4
Duke,21,111.9,96.3,0.849,50.7,46.7,18.8,17.2,37.1,25.9,29.1,23.1,50.8,46.8,33.7,31.1,65.6,1.9
Rutgers,18,105.4,90.9,0.8468,48,45.2,17.1,21.8,31.5,27,28.4,26.7,47.7,45.7,32.4,29.7,66.2,-0.2
Providence,21,116.4,100.6,0.8426,52,48.5,17.1,16.6,35.3,26,36.9,25.5,51.3,48.6,35.7,32.2,67.6,2.2
Virginia,21,111,96.2,0.8386,51.3,48.8,13.8,19.8,25.4,24.8,34.5,25,49.5,46.6,36.3,34.7,61.8,3.2
USC,21,113.6,98.6,0.836,51.7,44.9,18,18.5,28.3,32.6,32.7,28.5,51.7,42.3,34.4,32.9,68.5,2.6
Miami FL,23,119.1,103.5,0.8349,55,50.9,16.4,18.5,32,29.4,30.2,23.4,54.8,51.9,36.9,32.7,69,3.4
Northwestern,20,110.5,96,0.8338,47.5,48.4,15,21.7,28.1,27.6,30.4,30.8,47.3,46.5,32,33.9,65.3,2
Mississippi St.,19,104.8,91.8,0.8212,47.4,45.4,19.1,22.7,34.4,29.1,34.1,27.8,50.8,45.3,27.6,30.3,63.9,0.9
Illinois,19,110,96.6,0.8167,51.8,46.2,18.8,19,32.5,26.4,33,28.4,55.7,44.5,31,33.2,70.1,0.8
North Carolina St.,22,114.5,100.8,0.8125,51.9,49.4,13.7,19.2,31.1,26.3,26.3,33.5,51.4,50.1,35.1,32.1,69.7,1.4
Iowa,18,120.5,106.3,0.8084,51.8,53,14.2,18.7,31.7,27.9,32.7,23.6,52.3,52.4,33.9,36.1,70.2,0.6
Nevada,22,111.8,98.7,0.8075,51.1,49.1,15.3,19.2,22.5,25,38.4,32.3,50.7,48.8,34.4,33.1,66.3,2.7
Missouri,21,119.2,105.5,0.8028,55.4,51.9,16.4,24.5,27.5,38.1,30.9,35.8,55.9,51.1,36.5,35.4,69.8,2.9
Arizona St.,20,107.9,97.3,0.7653,48.4,46,16.9,20.4,29.3,30.9,29.7,31.9,49.1,43,31.6,33.7,68.6,1.2
Hofstra,23,109.5,100.8,0.7211,54.9,46.4,15.8,18.6,22.9,31.8,21.2,25.1,55.3,46.2,36.1,31.1,67.6,-1.2
UC Irvine,20,108.4,101.4,0.6817,51.8,46.2,17.2,17.5,27.4,26.2,29.3,38.1,49.8,44.6,37.3,32.6,69.7,-3.7
Pittsburgh,21,114.1,102.3,0.7779,53.1,47.9,17,17,31.1,27.9,30.8,29.5,52.5,47.3,35.9,32.6,67.1,0.6
Bradley,23,108.5,97.5,0.7725,53.6,45.9,18.4,19.9,29.6,24.2,26.7,31.3,52.8,45.2,36.5,31.4,65.6,-0.8
Morehead St.,21,102.8,104.9,0.4438,49.8,49.8,19,15.8,27.5,24.5,35.9,27.9,47.4,50.1,35.8,32.7,64,-5.4
