SEED,TEAM,SEED,TEAM
1,Houston,16,UNC Asheville
8,Iowa,9,North Carolina St.
8,Texas A&M,9,Illinois
5,San Diego St.,12,Oral Roberts
5,TCU,12,Bradley
4,Indiana,13,Southern Miss
4,Xavier,13,Utah Valley
3,Marquette,14,Colgate
3,Arizona,14,UC Irvine
7,Duke,10,USC
7,Providence,10,Memphis
2,Texas,15,Kennesaw St.
2,Baylor,15,Eastern Washington
1,Kansas,16,Texas A&M Corpus Chris
8,Arkansas,9,Pittsburgh
8,Missouri,9,Rutgers
5,Miami FL,12,Iona
5,Saint Mary's,12,VCU
4,Connecticut,13,Yale
4,Virginia,13,Hofstra
6,Creighton,11,Nevada
6,Iowa St.,11,Auburn
3,Tennessee,14,Furman
3,Gonzaga,14,Toledo
7,Michigan St.,10,Florida Atlantic
7,Maryland,10,West Virginia
2,Kansas St.,15,Vermont
2,UCLA,15,Youngstown St.
1,Alabama,16,Alcorn St.
6,Kentucky,11,Arizona St.
1,Purdue,16,Fairleigh Dickinson
6,Northwestern,11,Mississippi St.
